Device: Postscript
Disposition: To Device
FileorDev: otis
Titletext: 1972 Uvas Cr Strontium, x=433m 
XUnitText: time [hour]
YUnitText: Concentration [mg/l]
Ticks: On
Markers: On
Geometry: 1000x575

7.833333 0.147000
9.000000 0.133000
9.500000 0.148000
9.666667 0.141000
9.833333 0.140000
10.000000 0.152000
10.166667 0.134000
10.200000 0.146000
10.333333 0.146000
10.500000 0.149000
10.666667 0.139000
10.833333 0.137000
11.000000 0.131000
11.166667 0.144000
11.333333 0.149000
11.500000 0.185000
11.666667 0.231000
11.833333 0.286000
12.000000 0.359000
12.166667 0.398000
12.333333 0.435000
12.500000 0.488000
12.666667 0.515000
12.833333 0.542000
13.000000 0.557000
13.166667 0.602000
13.333333 0.631000
13.500000 0.651000
13.666667 0.657000
13.833333 0.680000
14.000000 0.684000
14.166667 0.696000
14.333333 0.696000
14.500000 0.664000
14.666667 0.644000
14.833333 0.583000
15.000000 0.524000
15.166667 0.464000
15.333333 0.464000
15.500000 0.423000
15.666667 0.389000
15.833333 0.370000
16.000000 0.349000
16.166667 0.327000
16.333333 0.313000
16.500000 0.289000
16.666667 0.278000
16.833333 0.263000
17.000000 0.240000
17.516667 0.232000
18.000000 0.218000
18.516667 0.192000
19.516667 0.175000
20.516667 0.173000
21.516667 0.168000
22.516667 0.154000
