


  Parameter Estimation, Reach #  1
  --------------------------------

   Dispersion      X-sect.      Storage       Storage  
     Coeff.         Area       Zone Area        Rate   
  ------------------------------------------------------------
  2.00000E-01   3.30000E+01   1.50000E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.50000E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.50000E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.50000E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.50000E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.50000E+01   5.00000E-05
  2.00029E-01   3.30000E+01   1.50000E+01   5.00000E-05
  1.99971E-01   3.30000E+01   1.50000E+01   5.00000E-05
  2.00004E-01   3.30000E+01   1.50000E+01   5.00000E-05
  2.00000E-01   3.30048E+01   1.50000E+01   5.00000E-05
  2.00000E-01   3.29952E+01   1.50000E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.50000E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.50022E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.49978E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.50001E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.50000E+01   5.00072E-05
  2.00000E-01   3.30000E+01   1.50000E+01   4.99928E-05
  2.00000E-01   3.30000E+01   1.50000E+01   5.00003E-05
  2.00000E-01   3.30000E+01   1.50000E+01   5.00000E-05
  2.00004E-01   3.30000E+01   1.50000E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.50000E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.50001E+01   5.00000E-05
  2.00000E-01   3.30000E+01   1.50000E+01   5.00003E-05
  4.20033E-01   3.29762E+01   1.31891E+01   5.44131E-05
  1.01214E+00   3.28397E+01   5.28804E+00   6.79583E-05
  1.01216E+00   3.28397E+01   5.28804E+00   6.79583E-05
  1.01214E+00   3.28397E+01   5.28804E+00   6.79583E-05
  1.01214E+00   3.28397E+01   5.28809E+00   6.79583E-05
  1.01214E+00   3.28397E+01   5.28804E+00   6.79588E-05
  3.96711E+00   3.17343E+01   5.46103E+00   1.21770E-04
  3.96719E+00   3.17343E+01   5.46103E+00   1.21770E-04
  3.96711E+00   3.17343E+01   5.46103E+00   1.21770E-04
  3.96711E+00   3.17343E+01   5.46107E+00   1.21770E-04
  3.96711E+00   3.17343E+01   5.46103E+00   1.21771E-04
